layer,asset_type,asset_name,geometry_type,authority,confidence,spatial_precision,field_verification_required,osm_type,osm_id
asset_beach_house,building,63rd Street Beach House / Pavilion,Polygon,CPD facility confirmation + OSM geometry with Chicago building ID,high,building footprint,yes,way,125954267
asset_parking,parking,63rd Street Beach pay-and-display parking lot,Polygon,CPD facility confirmation + OSM geometry,high,mapped lot polygon,yes,way,125954275
asset_dunes,natural area,63rd Street Beach Dunes - north and south sections,MultiPolygon,CPD confirms approximately 12 acres; OSM community geometry,medium,mapped multipolygon,yes,relation,20660684
asset_beach,beach,63rd Street Beach sand/operational beach candidate,Polygon,CPD facility confirmation + OSM geometry,medium,mapped beach polygon,yes,way,24925308
asset_boat_launch,boat launch,Non-motorized boat launch,LineString,CPD facility confirmation + OSM slipway geometry,high,mapped slipway centerline,yes,way,32972642
asset_boat_launch,boat launch,Non-motorized boat launch,LineString,CPD facility confirmation + OSM slipway geometry,high,mapped slipway centerline,yes,way,890494646
asset_underpasses,underpass,Pedestrian underpass connections,LineString,OSM tunnel geometry; CPD dunes description confirms underpass connection,medium,mapped tunnel centerlines,yes,way,24925364
asset_underpasses,underpass,Pedestrian underpass connections,LineString,OSM tunnel geometry; CPD dunes description confirms underpass connection,medium,mapped tunnel centerlines,yes,way,1187687380
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,24826540
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,24925363
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,24925364
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,30679034
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,32972173
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,33171451
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,33171461
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,33171509
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,33782188
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,78088804
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,112726443
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,125510117
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,125771938
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,125771941
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,125954271
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,180827781
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,180827788
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,220417722
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,285288065
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,359847732
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,402322101
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,402322104
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,402322105
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,402322106
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,402322108
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,436491358
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,436491359
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,436654759
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,558837559
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,558837564
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,655146618
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,890494647
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,890494648
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,934512825
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,934512828
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,934512830
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,934512831
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,934512832
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,950297227
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1004147318
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1004147321
