asset_id,asset_type,asset_name,authority,precision,verification_required,layer
BH-01,fountain_courtyard,Fountain Courtyard / interactive water-play feature,CPD official facility layout; spray feature and fountain capital records,plan-derived,field survey,beach_house_subspaces
BH-02,town_square_courtyard,Town Square Courtyard / current Serenity Courtyard,CPD layout calls it Town Square; current venue page calls Serenity Courtyard,plan-derived,field survey,beach_house_subspaces
BH-03,central_covered_pavilion,Central covered pavilion / upper loggia,CPD official facility layout,plan-derived,architectural survey,beach_house_subspaces
BH-04,front_entry_spine,Central stair and front-entry spine,CPD official facility layout,plan-derived,architectural survey,beach_house_subspaces
BH-05,west_open_balcony,West open balcony / promenade segment,CPD official facility layout,plan-derived,architectural survey,beach_house_subspaces
BH-06,east_open_balcony,East open balcony / promenade segment,CPD official facility layout,plan-derived,architectural survey,beach_house_subspaces
BH-07,west_terminal_pavilion,West terminal covered pavilion,CPD official facility layout,plan-derived,architectural survey,beach_house_subspaces
BH-08,east_terminal_pavilion,East terminal covered pavilion,CPD official facility layout,plan-derived,architectural survey,beach_house_subspaces
EN-OSM-01,published entrance,Published building entrance,OpenStreetMap mapped entrance,mapped point,yes,beach_house_entries
EN-01,primary entrance,Parking-side central front entry,CPD official layout,plan-derived,yes,beach_house_entries
EN-02,beach entrance,Central beach-side passage,CPD official layout / beach-side designation,plan-derived,yes,beach_house_entries
EN-03,courtyard entrance,Fountain Courtyard parking-side entry,CPD official layout,plan-derived,yes,beach_house_entries
EN-04,courtyard entrance,Town Square/Serenity parking-side entry,CPD official layout,plan-derived,yes,beach_house_entries
EN-05,beach access,West promenade beach access,CPD official layout,plan-derived,yes,beach_house_entries
EN-06,beach access,East promenade beach access,CPD official layout,plan-derived,yes,beach_house_entries
CN-01,concession,Reggies On The Beach,Mapped business point; current name requires seasonal verification,mapped point,yes,concessions
AM-01,water-play feature,Interactive fountain / spray feature,CPD venue layout and capital-project register,courtyard association,exact room/fixture survey,building_amenities
AM-02,lifeguard office,Lifeguard office and beach-wheelchair checkout,CPD beach page,building association only,exact room/fixture survey,building_amenities
AM-03,restrooms,Public restrooms,CPD beach page,building association only,exact room/fixture survey,building_amenities
AM-04,showers,Beach showers,CPD beach page,building association only,exact room/fixture survey,building_amenities
AM-05,meeting rooms,Meeting/event rooms,CPD beach and venue pages,building association only,exact room/fixture survey,building_amenities
AC-01,bicycle_parking,Bicycle Parking,OpenStreetMap mapped point,mapped point,yes,access_controls
AC-02,swing_gate,Swing Gate,OpenStreetMap mapped point,mapped point,yes,access_controls
AC-03,swing_gate,Swing Gate,OpenStreetMap mapped point,mapped point,yes,access_controls
AC-04,toll_booth,Toll Booth,OpenStreetMap mapped point,mapped point,yes,access_controls
AC-05,lift_gate,Lift Gate,OpenStreetMap mapped point,mapped point,yes,access_controls
AC-06,bollard,Bollard,OpenStreetMap mapped point,mapped point,yes,access_controls
